profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
hernametyla,https://www.tiktok.com/@hernametyla/video/7515929258183642373?_r=1&_t=ZP-8xbIOS79WGM,727300,109300,2637,910,727.3K,109.3K,2637,910,2025-06-29T15:47:26.271987
hernametyla,https://www.tiktok.com/@hernametyla/video/7515626150803082552?_r=1&_t=ZP-8xbIOS79WGM,4700000,538700,12900,1960,4.7M,538.7K,12.9K,1960,2025-06-29T15:47:45.224549
hernametyla,https://www.tiktok.com/@hernametyla/video/7515119710724181254?_r=1&_t=ZP-8xbIOS79WGM,433100,29900,1996,468,433.1K,29.9K,1996,468,2025-06-29T15:48:00.166466
hernametyla,https://www.tiktok.com/@hernametyla/video/7514875078006279430?_r=1&_t=ZP-8xbIOS79WGM,550000,62000,2781,513,550K,62K,2781,513,2025-06-29T15:48:13.241684
hernametyla,https://www.tiktok.com/@hernametyla/video/7512342752940641542?_r=1&_t=ZP-8xbIOS79WGM,1100000,114700,4615,1206,1.1M,114.7K,4615,1206,2025-06-29T15:48:33.178251
hernametyla,https://www.tiktok.com/@hernametyla/video/7512253920480087352?_r=1&_t=ZP-8xbIOS79WGM,2200000,396600,14800,1266,2.2M,396.6K,14.8K,1266,2025-06-29T15:48:56.522212
hernametyla,https://www.tiktok.com/@hernametyla/video/7511770827906354438?_r=1&_t=ZP-8xbIOS79WGM,966300,130500,4625,1244,966.3K,130.5K,4625,1244,2025-06-29T15:49:13.329621
hernametyla,https://www.tiktok.com/@hernametyla/video/7511339303994215685?_r=1&_t=ZP-8xbIOS79WGM,3600000,422400,15900,2972,3.6M,422.4K,15.9K,2972,2025-06-29T15:49:28.491885
hernametyla,https://www.tiktok.com/@hernametyla/video/7511114473332100358?_r=1&_t=ZP-8xbIOS79WGM,5900000,884800,28300,2924,5.9M,884.8K,28.3K,2924,2025-06-29T15:49:45.849478
hernametyla,https://www.tiktok.com/@hernametyla/video/7510291087081131320?_r=1&_t=ZP-8xbIOS79WGM,1200000,152300,5898,1387,1.2M,152.3K,5898,1387,2025-06-29T15:50:00.879556
hernametyla,https://www.tiktok.com/@hernametyla/video/7510157159393447173?_r=1&_t=ZP-8xbIOS79WGM,4500000,653000,19700,2622,4.5M,653K,19.7K,2622,2025-06-29T15:50:15.202296
hernametyla,https://www.tiktok.com/@hernametyla/video/7509064789658815750?_r=1&_t=ZP-8xbIOS79WGM,1500000,237200,12400,1627,1.5M,237.2K,12.4K,1627,2025-06-29T15:50:31.415912
hernametyla,https://www.tiktok.com/@hernametyla/video/7506929178038652166?_r=1&_t=ZP-8xbIOS79WGM,1200000,80600,3083,1104,1.2M,80.6K,3083,1104,2025-06-29T15:50:47.858235
hernametyla,https://www.tiktok.com/@hernametyla/video/7504535807621991685?_r=1&_t=ZP-8xbIOS79WGM,3100000,533100,19700,1734,3.1M,533.1K,19.7K,1734,2025-06-29T15:51:03.049739
hernametyla,https://www.tiktok.com/@hernametyla/video/7504053742396902662?_r=1&_t=ZP-8xbIOS79WGM,2700000,308100,11100,1569,2.7M,308.1K,11.1K,1569,2025-06-29T15:51:19.523562
hernametyla,https://www.tiktok.com/@hernametyla/video/7501717075736710406?_r=1&_t=ZP-8xbIOS79WGM,1200000,70700,2907,1055,1.2M,70.7K,2907,1055,2025-06-29T15:51:32.619318
